orszag;terulet
SPANYOLORSZÁG;504782
PORTUGÁLIA;92082
FRANCIAORSZÁG;547026
NAGY-BRITANNIA;244046
NORVÉGIA;324219
SVÉDORSZÁG;449964
FINNORSZÁG;338107
NÉMETORSZÁG;357042
SVÁJC;41293
AUSZTRIA;83858
OLASZORSZÁG;301252
MAGYARORSZÁG;93036
SZERBIA;88361
BULGÁRIA;110912
ROMÁNIA;237500
SZLOVÁKIA;49036
CSEHORSZÁG;78864
LENGYELORSZÁG;312677
OROSZORSZÁG;17075400
GÖRÖGORSZÁG;131944
TÖRÖKORSZÁG;780576
DÁNIA;43075
IZLAND;102829
ALBÁNIA;28748
BELGIUM;30519
HOLLANDIA;41548
LUXEMBURG;2586.40
LIECHTENSTEIN;160
MÁLTA;316
CIPRUS;9251
ÍRORSZÁG;70283
EGYIPTOM;1001449
MAROKKÓ;446550
INDIA;3287590
JAPÁN;372769
KÍNA;9608378
KANADA;9976139
MEXIKÓ;1972547
KUBA;110922
BRAZÍLIA;8511965
ARGENTÍNA;2776889
NEPÁL;140797
ALGÉRIA;2381741
KENYA;582646
MONACO;1.95
ANDORRA;468
IZRAEL;20770
LIBANON;10400
AUSZTRÁLIA;7686420
TUNÉZIA;163610
LÍBIA;1759540
ETIÓPIA;1130138
ERITREA;121320
KONGÓ (ZAIRE);2345409
IRAK;438466
IRÁN;1648000
SZÍRIA;185180
JORDÁNIA;97740
MADAGASZKÁR;587041
CHILE;756626
PERU;1285216
ECUADOR;283561
URUGUAY;176215
BOLÍVIA;1098581
PARAGUAY;406752
KOLUMBIA;1138914
VENEZUELA;912050
GUYANA;214699
SURINAME;163265
VATIKÁN;0.44
PAKISZTÁN;803943
AFGANISZTÁN;652225
BANGLADES;147570
BHUTÁN;47000
MIANMAR (BURMA);678528
THAIFÖLD;513115
KAMBODZSA;181035
VIETNAM;329556
LAOSZ;236800
MALAJZIA;329749
INDONÉZIA;1919443
BOTSWANA;600372
LESOTHO;30355
ZIMBABWE;390622
ZAMBIA;752614
NAMÍBIA;823168
MOZAMBIK;799380
MALAWI;118484
ANGOLA;1246700
TANZÁNIA;945087
MONGÓLIA;1565000
BELIZE;22965
HONDURAS;112088
SALVADOR;21041
NICARAGUA;130000
PANAMA;75650
GUATEMALA;108889
BAHAMA-SZIGETEK;13939
JAMAICA;10991
BENIN;112622
CSÁD;1284000
GABON;267667
GHÁNA;238537
GUINEA;245857
KAMERUN;475442
KONGÓI KÖZTÁRSASÁG;342000
LIBÉRIA;111369
MALI;1240142
MAURITÁNIA;1030700
NIGER;1267000
NIGÉRIA;923768
RUANDA;26338
SZENEGÁL;196192
SZOMÁLIA;637657
SZUDÁN;2505813
SZVÁZIFÖLD;17364
TOGO;56785
UGANDA;236036
DÉL-AFRIKAI KÖZTÁRSASÁG;1221037
BURKINA FASO;274200
SIERRA LEONE;71740
ÚJ-ZÉLAND;269112
SRI LANKA;65610
SZAUD-ARÁBIA;2149690
AMERIKAI EGYESÜLT ÁLLAMOK;9809155
FÜLÖP-SZIGETEK;300000
KATAR;11437
OMÁN;212457
FIDZSI-SZIGETEK;18272
SZAMOA;2842
DÉL-KOREA;98484
ÉSZAK-KOREA;120538
VANUATU;14763
TUVALU;26
TONGA;748
NAURU;21.30
KIRIBATI;886
SAINT LUCIA;616
SAINT VINCENT ÉS GRENADINE;389
BARBADOS;430
GRENADA;344
SAN MARINO;60.57
SZINGAPÚR;641
EGYESÜLT ARAB EMIRSÉGEK;83600
KUVAIT;17818
BAHREIN;678
DZSIBUTI;21783
GAMBIA;11295
BISSAU-GUINEA;36125
BURUNDI;27834
COMORE-SZIGETEK;1862
MAURITIUS;2045
JEMEN;528000
MALDIV-SZIGETEK;298
COSTA RICA;51100
SALAMON-SZIGETEK;28446
TRINIDAD ÉS TOBAGO;5128
ZÖLD-FOKI KÖZTÁRSASÁG;4033
SEYCHELLE-SZIGETEK;454
ANTIGUA ÉS BARBUDA;443
DOMINIKAI KÖZTÁRSASÁG;48734
DOMINIKAI KÖZÖSSÉG;751
EGYENLITŐI-GUINEA;28051
ELEFÁNTCSONTPART;322463
HAITI;27750
PÁPUA ÚJ-GUINEA;461691
KÖZÉP-AFRIKAI KÖZTÁRSASÁG;622984
SÁO TOMÉ ÉS PRINCIPE;1001
BRUNEI;5765
SAINT KITTS ÉS NEVIS;266
UKRAJNA;603700
LITVÁNIA;65300
LETTORSZÁG;64589
ÉSZTORSZÁG;45227
HORVÁTORSZÁG;56538
SZLOVÉNIA;20253
BOSZNIA-HERCEGOVINA;51129
MACEDÓNIA;25713
AZERBAJDZSÁN;86600
GRÚZIA;69700
ÖRMÉNYORSZÁG;29800
BELARUSZ;207600
MOLDOVA;33700
ÜZBEGISZTÁN;447400
KAZAHSZTÁN;2717300
KIRGIZISZTÁN;198500
TÁDZSIKISZTÁN;143100
TÜRKMENISZTÁN;488100
TAJVAN;36000
PALAU;508
KELET-TIMOR;15007
MARSHALL-SZIGETEK;180
MIKRONÉZIA;702
MONTENEGRO;14026
